No,번호,명       칭,구별,읍면동,위        치,주소,경도,위도,상태
113,113,세광엔리치빌(3차),서북구,두정동,605,충남 천안시 서북구 두정동 605,127.128355917593,36.8281638308919,정좌표
114,114,두정4차푸르지오,서북구,두정동,666,충남 천안시 서북구 두정동 666,127.130190286538,36.8296332209101,정좌표
115,115,호반리젠시빌,서북구,백석동,900,충남 천안시 서북구 백석동 900,127.120542590644,36.8194419810164,정좌표
116,116,호반리젠시빌,서북구,백석동,909,충남 천안시 서북구 백석동 909,127.118251023111,36.8177745300112,정좌표
117,117,한미래,서북구,성환읍,수향리 466-5,충남 천안시 서북구 성환읍 수향리 466-5,127.131676288433,36.955750609929,정좌표
118,118,하늘빛(문덕마을세아),서북구,성거읍,문덕리 231-6,충남 천안시 서북구 성거읍 문덕리 231-6,127.181032238571,36.8760650376292,정좌표
119,119,계룡리슈빌,서북구,두정동,1078,충남 천안시 서북구 두정동 1078,127.13704189084,36.8382972396565,정좌표
120,120,서해그랑블,서북구,두정동,665,충남 천안시 서북구 두정동 665,127.130125486275,36.8281245758218,정좌표
121,121,천안두정5차푸르지오,서북구,두정동,2010,충남 천안시 서북구 두정동 2010,127.128721059227,36.8346704435372,정좌표
122,122,아느칸빌,서북구,성거읍,저리 26-7,충남 천안시 서북구 성거읍 저리 26-7,127.205536746204,36.881374689855,정좌표
123,125,경남아너스빌,서북구,두정동,1080,충남 천안시 서북구 두정동 1080,127.13959596668,36.8382923365759,정좌표
124,126,한성필하우스,서북구,두정동,1886,충남 천안시 서북구 두정동 1886,127.133342659989,36.8376254310494,정좌표
125,127,불당한성필하우스,서북구,불당동,788,충남 천안시 서북구 불당동 788,127.113573806802,36.8026548610958,정좌표
126,128,두정이-편한세상,서북구,두정동,1221,충남 천안시 서북구 두정동 1221,127.140927201702,36.8348475727122,정좌표
127,129,그린빌2차,서북구,백석동,890,충남 천안시 서북구 백석동 890,127.12202835297,36.8220556643485,정좌표
128,130,불당마을동일하이빌,서북구,불당동,750(751),충남 천안시 서북구 불당동 750(751),127.113092162711,36.8081608987889,정좌표
129,131,불당아이파크,서북구,불당동,757,충남 천안시 서북구 불당동 757,127.109278117765,36.8085299090574,정좌표
130,132,대원칸타빌,서북구,불당동,787,충남 천안시 서북구 불당동 787,127.116060581216,36.8033208410844,정좌표
131,133,호반리젠시빌스위트,서북구,불당동,780,충남 천안시 서북구 불당동 780,127.116897422729,36.8060142732304,정좌표
132,134,한성3차필하우스,서북구,두정동,2035,충남 천안시 서북구 두정동 2035,127.147111216381,36.8342995750156,정좌표
133,135,대동다:숲,서북구,불당동,820,충남 천안시 서북구 불당동 820,127.111519594378,36.8057541918016,정좌표
134,136,신동아파밀리에,서북구,와촌동,173,충남 천안시 서북구 와촌동 173,127.144492574595,36.8074300546826,정좌표
135,137,성환부영2차,서북구,성환읍,매주리 244-13,충남 천안시 서북구 성환읍 매주리 244-13,127.134482725077,36.9042180918321,정좌표
136,138,범양마더빌1차,서북구,쌍용2동,2040,충남 천안시 서북구 쌍용2동 2040,127.127027947932,36.7936668978716,정좌표
137,139,스윗트리,서북구,성거읍,저리 319-31,충남 천안시 서북구 성거읍 저리 319-31,127.203557055587,36.8799827704974,정좌표
138,140,직산코아루,서북구,직산읍,삼은리 395,충남 천안시 서북구 직산읍 삼은리 395,127.152976958839,36.8781914597271,정좌표
139,141,대주파크빌1단지,서북구,두정동,1896,충남 천안시 서북구 두정동 1896,127.130116327493,36.8364937988335,정좌표
140,142,대주파크빌2단지,서북구,두정동,1898,충남 천안시 서북구 두정동 1898,127.13054864543,36.8363265464878,정좌표
141,143,직산세광엔리치빌1차(1단지),서북구,직산읍,삼은리 72-41,충남 천안시 서북구 직산읍 삼은리 72-41,127.152253822046,36.8791363725385,정좌표
142,144,직산1차(2단지)세광엔리치빌,서북구,직산읍,삼은리 74-3,충남 천안시 서북구 직산읍 삼은리 74-3,127.150250546447,36.8799678180657,정좌표
143,145,삼환나우빌,서북구,성거읍,신월리 2-26,충남 천안시 서북구 성거읍 신월리 2-26,127.157724064024,36.8771299705858,정좌표
144,146,신당코아루,서북구,신당동,284-1,충남 천안시 서북구 신당동 284-1,127.159363172694,36.8533830332198,정좌표
145,147,아포리예미원,서북구,성환읍,성월리 95-7,충남 천안시 서북구 성환읍 성월리 95-7,127.133839498497,36.9129633657995,정좌표
146,148,백석벽산블루밍1차,서북구,백석동,919,충남 천안시 서북구 백석동 919,127.114047329795,36.8249210682574,정좌표
147,149,백석벽산블루밍2차,서북구,백석동,924,충남 천안시 서북구 백석동 924,127.11436123143,36.8260591482251,정좌표
148,150,브라운스톤천안,서북구,백석동,930,충남 천안시 서북구 백석동 930,127.115679460933,36.8289965131787,정좌표
149,151,범양마더빌2차,서북구,쌍용2동,2047,충남 천안시 서북구 쌍용2동 2047,127.126543785581,36.7932764894523,정좌표
150,152,쌍용역푸르지오,서북구,쌍용2동,2050,충남 천안시 서북구 쌍용2동 2050,127.118697863264,36.7909712596907,정좌표
151,153,성환3차부영사랑으로,서북구,성환읍,매주리 244-5,충남 천안시 서북구 성환읍 매주리 244-5,127.13465064127,36.9052402714906,정좌표
152,154,쌍용GS자이,서북구,쌍용2동,2075,충남 천안시 서북구 쌍용2동 2075,127.116196749869,36.7872490292709,정좌표
153,155,쌍용동일하이빌,서북구,쌍용2동,2077,충남 천안시 서북구 쌍용2동 2077,127.114312021249,36.7860615858768,정좌표
154,156,성환두영부자마을,서북구,성환읍,성환리 111-13,충남 천안시 서북구 성환읍 성환리 111-13,127.131343105025,36.9310905869927,인근좌표
155,157,백석현대아이파크,서북구,백석동,941,충남 천안시 서북구 백석동 941,127.124870376952,36.8326235550859,정좌표
156,158,불당한화꿈에그린,서북구,불당동,1270,충남 천안시 서북구 불당동 1270,127.113593756499,36.8009736988987,정좌표
157,159,성환e편한세상,서북구,성환읍,매주리 182-10,충남 천안시 서북구 성환읍 매주리 182-10,127.132476111776,36.9017138616321,정좌표
158,160,두정역푸르지오,서북구,두정동,2037,충남 천안시 서북구 두정동 2037,127.150468462221,36.8338261738579,정좌표
159,161,백석푸르지오,서북구,백석동,979,충남 천안시 서북구 백석동 979,127.121676957663,36.8298449047399,정좌표
160,162,쌍용두산위브,서북구,쌍용동,1241,충남 천안시 서북구 쌍용동 1241,127.1281284184,36.7999019837363,정좌표
161,163,백석계룡리슈빌,서북구,백석동,1007,충남 천안시 서북구 백석동 1007,127.122345661078,36.832554178312,정좌표
162,164,희홍밸러뷰,서북구,직산읍,군동리 39,충남 천안시 서북구 직산읍 군동리 39,127.166855005534,36.8958179798292,정좌표
163,165,두정역이안더센트럴,서북구,두정동,2045,충남 천안시 서북구 두정동 2045,127.151000564746,36.8298124174195,정좌표
164,166,천안동일하이빌,서북구,쌍용3동,2100,충남 천안시 서북구 쌍용3동 2100,127.119994681171,36.8098098960916,정좌표
165,167,펜타포트,서북구,불당동,1292,충남 천안시 서북구 불당동 1292,127.101041101218,36.7998223683536,정좌표
166,168,펜타포트,서북구,불당동,1289,충남 천안시 서북구 불당동 1289,127.101364596913,36.7982794949735,정좌표
167,169,두정대림2차e편한세상,서북구,두정동,2055,충남 천안시 서북구 두정동 2055,127.129573078547,36.8378362111104,정좌표
168,170,백석중흥S-클래스,서북구,백석동,1070,충남 천안시 서북구 백석동 1070,127.120771760045,36.836330061172,정좌표
169,171,두정역 코아루 스위트,서북구,두정동,2056외1,충남 천안시 서북구 두정동 2056외1,127.151587194389,36.8275193041594,정좌표
170,172,한화꿈에그린 스마일시티,서북구,차암동,448,충남 천안시 서북구 차암동 448,127.101648032363,36.8415576900835,정좌표
171,173,백석2차 아이파크,서북구,백석동,1178,충남 천안시 서북구 백석동 1178,127.121379886435,36.8252467286209,정좌표
172,174,차암 e편한세상 스마일시티,서북구,차암동,442,충남 천안시 서북구 차암동 442,127.103587466594,36.8437983404,정좌표
173,175,우송팰리스,서북구,성거읍 저리,57-77 외1,충남 천안시 서북구 성거읍 저리 57-77 외1,127.201463305157,36.875754848289,정좌표
174,176,엘에이치천년나무7단지,서북구,불당동,1515,충남 천안시 서북구 불당동 1515,127.105641160701,36.8175205542173,정좌표
175,177,이안,서북구,불당동,1503,충남 천안시 서북구 불당동 1503,127.10290857979,36.8201432055267,정좌표
176,178,쁘띠 노블레스,서북구,성거읍 저리,Feb-65,충남 천안시 서북구 성거읍 저리 23774,127.193445157905,36.8823794443219,인근좌표
177,179,스마일시티 효성 해링턴플레이스,서북구,차암동,550,충남 천안시 서북구 차암동 550,127.106716719389,36.845643863044,정좌표
178,180,백석동펜타폴리스 5차,서북구,백석동,658-69,충남 천안시 서북구 백석동 658-69,127.113085007337,36.8243175064943,정좌표
179,181,지웰푸르지오,서북구,불당동,1498,충남 천안시 서북구 불당동 1498,127.106204397147,36.8214358462522,정좌표
180,182,북천안자이에뜨,서북구,성거읍 송남리,585번지 (59-1번지 일원),충남 천안시 서북구 성거읍 송남리 585번지 (59-1번지 일원),127.198533769478,36.866862523874,정좌표
181,183,미산라이프아파트,서북구,성환읍 성월리,585번지 (59-1번지 일원),충남 천안시 서북구 성환읍 성월리 585번지 (59-1번지 일원),127.134626685305,36.9155621694695,인근좌표
182,184,불당풍림아이원,서북구,불당동,1426,충남 천안시 서북구 불당동 1426,127.109100859084,36.8008738978661,정좌표
183,185,이편한세상 스마일시티2차,서북구,차암동,543,충남 천안시 서북구 차암동 543,127.107927170086,36.8474692303034,정좌표
184,186,불당지웰더샵,서북구,불당동,1548,충남 천안시 서북구 불당동 1548,127.104828518493,36.8148771680493,정좌표
185,187,모닝스위트,서북구,직산읍,모시리 206,충남 천안시 서북구 직산읍 모시리 206,127.126976254957,36.8686066015457,정좌표
186,188,불당 호반베르디움 The First,서북구,불당동,1811,충남 천안시 서북구 불당동 1811,127.103499309402,36.8069043546626,정좌표
187,189,백석더샵,서북구,백석동,1193,충남 천안시 서북구 백석동 1193,127.124905506864,36.8297627394935,정좌표
188,190,건주참조은아파트,서북구,성환읍,매주리 324-1,충남 천안시 서북구 성환읍 매주리 324-1,127.129807378752,36.9118288153817,정좌표
189,191,불당리더힐스,서북구,불당동,1497,충남 천안시 서북구 불당동 1497,127.10342211928,36.8219936231176,정좌표
190,192,불당 호반써밋플레이스,서북구,불당동,1613,충남 천안시 서북구 불당동 1613,127.103999183942,36.812142832436,정좌표
191,193,호반 베르디움 센트로 포레,서북구,불당동,1510,충남 천안시 서북구 불당동 1510,127.102308641136,36.8181677479688,정좌표
192,194,e편한세상 두정3차,서북구,두정동,2063,충남 천안시 서북구 두정동 2063,127.155360195199,36.8319496053341,정좌표
193,195,백석3차아이파크,서북구,백석동,1200,충남 천안시 서북구 백석동 1200,127.125789080528,36.8277109184556,정좌표
194,196,천안 레이크타운 푸르지오,서북구,성성동,696,충남 천안시 서북구 성성동 696,127.132759679789,36.8426612244745,정좌표
195,197,불당 린스트라우스 1단지,서북구,불당동,1545,충남 천안시 서북구 불당동 1545,127.101687187185,36.8162412318565,정좌표
196,198,불당 린스트라우스 2단지,서북구,불당동,1546,충남 천안시 서북구 불당동 1546,127.101314676827,36.8148090256876,정좌표
197,199,불당 호반써밋플레이스 센터시티,서북구,불당동,1846,충남 천안시 서북구 불당동 1846,127.104668568167,36.8033110791896,정좌표
198,200,백석LH천년나무1단지,서북구,백석동,1115,충남 천안시 서북구 백석동 1115,127.118616021435,36.829976004087,정좌표
199,201,입장 아스트레아파트,서북구 ,입장면 하장리,4-1번지,충남 천안시 서북구  입장면 하장리 4-1번지,127.226780469496,36.9138357068312,정좌표
200,202,불당 지웰시티푸르지오1단지,서북구,불당동,1544,충남 천안시 서북구 불당동 1544,127.106536918787,36.8145356156156,정좌표
201,203,불당 지웰시티푸르지오2단지,서북구,불당동,1614,충남 천안시 서북구 불당동 1614,127.105707300299,36.8118097936666,정좌표
202,204,천안 레이크타운2차 푸르지오,서북구,성성동,697,충남 천안시 서북구 성성동 697,127.133531697273,36.8404416153961,정좌표
203,205,e편한세상 천안부성,서북구,신당동,705,충남 천안시 서북구 신당동 705,127.150317874718,36.8549273836007,정좌표
204,206,불당파크푸르지오1단지,서북구,불당동,1492,충남 천안시 서북구 불당동 1492,127.108502197599,36.8209926790705,정좌표
205,207,불당파크푸르지오2단지,서북구,불당동,1494,충남 천안시 서북구 불당동 1494,127.107930694676,36.8191061038074,정좌표
206,208,천안 쌍용역 코오롱 하늘채,서북구,쌍용동,2134,충남 천안시 서북구 쌍용동 2134,127.1197752539,36.7919986021399,정좌표
207,209,성성동 천안시티자이,서북구,성성동,827,충남 천안시 서북구 성성동 827,127.122200571274,36.8424291879377,정좌표
208,210,e편한세상 두정4차,서북구,두정동,401-1,충남 천안시 서북구 두정동 401-1,127.156736469787,36.8371554838396,정좌표
209,211,천안역 우방아이유쉘,서북구,성정동,1562,충남 천안시 서북구 성정동 1562,127.149370695646,36.8177567830099,정좌표
210,212,직산역 한화꿈에그린,서북구,성거읍 신월리,467,충남 천안시 서북구 성거읍 신월리 467,127.148801296238,36.8729526342572,정좌표
211,213,직산 한양수자인2차,서북구,직산읍 삼은리,575,충남 천안시 서북구 직산읍 삼은리 575,127.149387322363,36.8812704964643,정좌표
212,214,직산 한양수자인1차,서북구,직산읍 삼은리,584,충남 천안시 서북구 직산읍 삼은리 584,127.148105767939,36.8821702678222,정좌표
213,215,천안불당엘에이치1단지,서북구,불당동,1463,충남 천안시 서북구 불당동 1463,127.103744017697,36.8236180526214,정좌표
214,216,브리엔츠 아파트,서북구,직산읍 삼은리,76-67,충남 천안시 서북구 직산읍 삼은리 76-67,127.148021321069,36.8789504178234,정좌표
215,217,천안두정 행복주택,서북구,두정동,581,충남 천안시 서북구 두정동 581,127.129003828312,36.8312412629365,정좌표
216,218,쌍용 더팰리스4,서북구,쌍용동,2141,충남 천안시 서북구 쌍용동 2141,127.127275590613,36.8099070093738,정좌표
217,219,두정역 효성해링턴 플레이스 아파트,서북구,두정동,Jun-63,충남 천안시 서북구 두정동 23163,127.153432513825,36.8262545379647,인근좌표
218,220,성성레이크팰리스3차푸르지오,서북구,성성동,969,충남 천안시 서북구 성성동 969,127.127089363969,36.840470095877,정좌표
219,221,두정 범양레우스알파,서북구,두정동,399-1,충남 천안시 서북구 두정동 399-1,127.155493318656,36.8356013644725,정좌표
220,222,직산월드메르디앙 레이크파크,서북구,직산읍 삼은리,591,충남 천안시 서북구 직산읍 삼은리 591,127.148718148177,36.8824688460986,인근좌표
221,223,천안역사 동아라이크텐,서북구,와촌동,186,충남 천안시 서북구 와촌동 186,127.145017128388,36.8055383159669,인근좌표
