No,No,연번,구분,학교명,학급수,학생수(명),우편번호,주소,연락처,,경도,위도,상태,지번주소
1,1,1,유치원,천안도솔유치원,11,120,31111,충남 천안시 서북구 두정역동3길 3,041-522-9791,충남 천안시 서북구,127.1509865,36.83562143,정좌표,충청남도 천안시 서북구 두정동 1722
2,2,2,유치원,천안성정유치원,7,120,31141,충남 천안시 서북구 성정7길 3,041-571-1057,충남 천안시 서북구,127.1401719,36.81571641,정좌표,충청남도 천안시 서북구 성정동 716-3
3,3,3,유치원,천안버들유치원,13,240,31156,충남 천안시 서북구 불당23로 41,041-906-7771,충남 천안시 서북구,127.105602,36.81913935,정좌표,충청남도 천안시 서북구 불당동 1500
4,4,4,유치원,천안성성유치원,12,180,31079,충남 천안시 서북구 성성10길 10-4,041-564-1832,충남 천안시 서북구,127.1368522,36.84053146,정좌표,충청남도 천안시 서북구 성성동 790
5,5,5,유치원,천안불당유치원,14,240,31156,충남 천안시 서북구 불당27로 12,041-567-1571,충남 천안시 서북구,127.1709436,36.87919651,인근좌표,충청남도 천안시 서북구 성거읍 소우리 182-4
6,6,6,유치원,환서초등학교병설유치원,1,25,31097,충남 천안시 서북구 한들2로 34-41,041-551-8380,충남 천안시 서북구,127.1221244,36.82865161,정좌표,충청남도 천안시 서북구 백석동 105
7,7,7,유치원,천안부대초등학교병설유치원,1,20,31080,충남 천안시 서북구 공대길 37,041-551-2461,충남 천안시 서북구,127.1525992,36.84835814,정좌표,충청남도 천안시 서북구 부대동 270-1
8,8,8,유치원,천안업성초등학교병설유치원,1,20,31076,충남 천안시 서북구 업성 5길 20 ,041-583-3687,충남 천안시 서북구,127.141648,36.86162216,정좌표,충청남도 천안시 서북구 업성동 99-1
9,9,9,유치원,천안미라초등학교병설유치원,6,85,31155,충남 천안시 서북구 미라2길 13,041-571-0147,충남 천안시 서북구,127.1282415,36.8008257,정좌표,충청남도 천안시 서북구 쌍용동 1231
10,10,10,유치원,천안쌍용초등학교병설유치원,4,60,31166,충남 천안시 서북구 쌍용6길 9,041-571-8618,충남 천안시 서북구,127.1231695,36.8013169,정좌표,충청남도 천안시 서북구 쌍용동 1300
11,11,11,유치원,성환초등학교병설유치원,2,40,31015,충남 천안시 서북구 성환읍 성환12길 37,041-581-9555,충남 천안시 서북구,127.1324566,36.91804994,정좌표,충청남도 천안시 서북구 성환읍 성환리 274-2
12,12,12,유치원,성신초등학교병설유치원,1,15,31014,충남 천안시 서북구 성환읍 성환12길 7,041-581-1820,충남 천안시 서북구,127.1284189,36.91811508,정좌표,충청남도 천안시 서북구 성환읍 성환리 449-5
13,13,13,유치원,대홍초등학교병설유치원,1,15,31005,충남 천안시 서북구 성환읍 잠실길 4,041-581-1017,충남 천안시 서북구,127.1471336,36.94944005,정좌표,충청남도 천안시 서북구 성환읍 수향리 270-1
14,14,14,유치원,신가초등학교병설유치원,1,20,31001,충남 천안시 서북구 성환읍 성환신흥2길 2,041-581-2705,충남 천안시 서북구,127.1145185,36.9510131,정좌표,충청남도 천안시 서북구 성환읍 신가리 377-3
15,15,15,유치원,신방초등학교병설유치원,1,15,31000,충남 천안시 서북구 성환읍 신방로 73,041-582-1925,충남 천안시 서북구,127.0876664,36.92912252,정좌표,충청남도 천안시 서북구 성환읍 신방리 95
16,16,16,유치원,도하초등학교병설유치원,1,15,31005,충남 천안시 서북구 성환읍 연암로 382,041-581-1503,충남 천안시 서북구,127.1676594,36.94824626,정좌표,충청남도 천안시 서북구 성환읍 도하리 345-4
17,17,17,유치원,직산초등학교병설유치원,1,15,31032,충남 천안시 서북구 직산읍 직산안길 79,041-581-3708,충남 천안시 서북구,127.1621356,36.90372384,정좌표,충청남도 천안시 서북구 직산읍 군동리 324-1
18,18,18,유치원,삼은초등학교병설유치원,2,45,31037,충남 천안시 서북구 직산읍 삼은2길 11,041-583-0046,충남 천안시 서북구,127.1480858,36.87787666,정좌표,충청남도 천안시 서북구 직산읍 삼은리 76-16
19,19,19,유치원,양당초등학교병설유치원,1,15,31029,충남 천안시 서북구 직산읍 양당1길 9-12,041-584-0015,충남 천안시 서북구,127.113796,36.87854425,정좌표,충청남도 천안시 서북구 직산읍 양당리 105
20,20,20,유치원,성거초등학교병설유치원,1,20,31046,충남 천안시 서북구 성거읍 소댕이3길 606-21,041-555-4684,충남 천안시 서북구,127.2004616,36.87204922,정좌표,충청남도 천안시 서북구 성거읍 송남리 18-1
21,21,21,유치원,소망초등학교병설유치원,1,25,31048,충남 천안시 서북구 성거읍 역전말3길 102 ,041-587-0072,충남 천안시 서북구,127.1625024,36.87636463,정좌표,충청남도 천안시 서북구 성거읍 소우리 188-29
22,22,22,유치원,입장초등학교병설유치원,1,20,31055,충남 천안시 서북구 입장면 하장4길 19,041-585-3995,충남 천안시 서북구,127.2192272,36.91325661,정좌표,충청남도 천안시 서북구 입장면 하장리 54-1
23,23,23,유치원,양대초등학교병설유치원,1,15,31055,충남 천안시 서북구 입장면 성진로 858,041-584-5077,충남 천안시 서북구,127.2270835,36.91520961,정좌표,충청남도 천안시 서북구 입장면 하장리 110-50
24,24,24,유치원,천안차암초등학교병설유치원,3,60,31085,충남 천안시 서북구 3공단6로 85-20,041-413-3502,충남 천안시 서북구,127.1059522,36.84459447,정좌표,충청남도 천안시 서북구 차암동 549
25,25,25,유치원,천안불무초등학교병설유치원,5,85,31126,충남 천안시 서북구 불당23로 29,041-565-9975,충남 천안시 서북구,127.1049111,36.81967343,정좌표,충청남도 천안시 서북구 불당동 1501
26,26,26,유치원,천안한들초등학교병설유치원,4,60,31096,충남 천안시 서북구 한들2로 33,041-551-5804,충남 천안시 서북구,127.1177883,36.82579814,정좌표,충청남도 천안시 서북구 백석동 345-1
27,27,27,유치원,천안백석초등학교병설유치원,3,70,31158,충남 천안시 서북구 백석3로 98,041-622-8486,충남 천안시 서북구,127.1221216,36.81981167,정좌표,충청남도 천안시 서북구 백석동 902
28,28,28,유치원,색동유치원,2,60,31141,충남 천안시 서북구 성정6길 8-7,041-575-4131,충남 천안시 서북구,127.1405634,36.81441831,정좌표,충청남도 천안시 서북구 성정동 730-9
29,29,29,유치원,대한유치원,8,320,31133,충남 천안시 서북구 동서대로110-24,041-575-3990,충남 천안시 서북구,127.13468,36.82430072,정좌표,충청남도 천안시 서북구 성정동 788
30,30,30,유치원,중앙유치원,5,175,31137,충남 천안시 서북구 서부14길 55,041-575-9998,충남 천안시 서북구,127.1423805,36.82132333,정좌표,충청남도 천안시 서북구 성정동 659-6
31,31,31,유치원,미래클유치원,6,160,31133,충남 천안시 서북구 쌍용대로 301 ,041-577-6622,충남 천안시 서북구,127.1358415,36.82380172,정좌표,충청남도 천안시 서북구 성정동 413-13
32,32,32,유치원,예랑유치원,4,100,31166,충남 천안시 서북구 쌍용11길 33,041-571-2556,충남 천안시 서북구,127.1223744,36.80243671,정좌표,충청남도 천안시 서북구 쌍용동 1279
33,33,33,유치원,젤라유치원,6,170,31155,충남 천안시 서북구 미라3길 5,041-571-0033,충남 천안시 서북구,127.1304588,36.80013181,정좌표,충청남도 천안시 서북구 쌍용동 1222
34,34,34,유치원,새미기픈믈유치원,6,180,31137,충남 천안시 서북구 서부13길 39,041-572-0642,충남 천안시 서북구,127.1416227,36.82076557,정좌표,충청남도 천안시 서북구 성정동 666-9
35,35,35,유치원,늘푸른유치원,8,200,31099,충남 천안시 서북구 늘푸른6길 41,041-554-9413,충남 천안시 서북구,127.1318587,36.82892897,정좌표,충청남도 천안시 서북구 두정동 526-1
36,36,36,유치원,한사랑유치원,6,180,31102,충남 천안시 서북구 두정중5길 22,041-555-5274,충남 천안시 서북구,127.1440216,36.8354295,정좌표,충청남도 천안시 서북구 두정동 525-3
37,37,37,유치원,늘사랑유치원,14,275,31161,충남 천안시 서북구 봉서산샛길 67,041-578-3111,충남 천안시 서북구,127.1214405,36.8042749,정좌표,충청남도 천안시 서북구 쌍용동 1917
38,38,38,유치원,미래유치원,11,275,31095,충남 천안시 서북구 백석로 17-17,041-551-3233,충남 천안시 서북구,127.1146457,36.82400418,정좌표,충청남도 천안시 서북구 백석동 303-2
39,39,39,유치원,푸른별유치원,8,195,31172,충남 천안시 서북구 쌍용14길 66,041-578-1777,충남 천안시 서북구,127.1228815,36.79633087,정좌표,충청남도 천안시 서북구 쌍용동 620
40,40,40,유치원,좋은유치원,5,100,31172,충남 천안시 서북구 쌍용18길 18,041-578-4422,충남 천안시 서북구,127.120055,36.79925381,정좌표,충청남도 천안시 서북구 쌍용동 1518
41,41,41,유치원,행복한아이세상유치원,4,100,31078,충남 천안시 서북구 성성2길 53,041-621-2214,충남 천안시 서북구,127.131062,36.84407774,정좌표,충청남도 천안시 서북구 성성동 93
42,42,42,유치원,엔젤유치원,7,260,31171,충남 천안시 서북구 월봉7길 77,041-579-6755,충남 천안시 서북구,127.1155452,36.79408292,정좌표,충청남도 천안시 서북구 쌍용동 1561
43,43,43,유치원,산내들유치원,9,270,31170,충남 천안시 서북구 월봉4로 155,041-592-6700,충남 천안시 서북구,127.1148325,36.80084848,정좌표,충청남도 천안시 서북구 쌍용동 121-1
44,44,44,유치원,우리유치원,12,300,31099,충남 천안시 서북구 부성1길 51-10,041-522-5201,충남 천안시 서북구,127.135006,36.83858316,정좌표,충청남도 천안시 서북구 두정동 1785
45,45,45,유치원,유한유치원,7,175,31179,충남 천안시 서북구 월봉9길 7,041-577-3511,충남 천안시 서북구,127.115902,36.78911815,정좌표,충청남도 천안시 서북구 쌍용동 1866
46,46,46,유치원,행복한리더로유치원,15,300,31090,충남 천안시 서북구 오성6길 27,041-523-7600,충남 천안시 서북구,127.1305885,36.83219617,정좌표,충청남도 천안시 서북구 두정동 677
47,47,47,유치원,세화유치원,12,300,31175,충남 천안시 서북구 충무로 158-23,041-573-6400,충남 천안시 서북구,127.1257528,36.79179537,정좌표,충청남도 천안시 서북구 쌍용동 396-9
48,48,48,유치원,아이숲유치원,6,150,31181,충남 천안시 서북구 다가말 2길 26,041-577-7179,충남 천안시 서북구,127.1347798,36.79782388,정좌표,충청남도 천안시 서북구 쌍용동 378-108
49,49,49,유치원,사랑유치원,7,230,31008,충남 천안시 서북구 성환읍 신방로 336-11,041-581-4757,충남 천안시 서북구,127.1145491,36.92375236,정좌표,충청남도 천안시 서북구 성환읍 송덕리 57
50,50,50,유치원,동심유치원,4,120,31046,충남 천안시 서북구 성거읍 소댕이3길 13,041-622-3645,충남 천안시 서북구,127.1960799,36.87139806,정좌표,충청남도 천안시 서북구 성거읍 송남리 253-8
51,51,51,유치원,동화유치원,4,120,31050,충남 천안시 서북구 성거읍 신월길 42,041-583-5034,충남 천안시 서북구,127.152294,36.87363984,정좌표,충청남도 천안시 서북구 성거읍 신월리 393-3
52,52,52,유치원,새천안유치원,5,125,31038,충남 천안시 서북구 직산읍 자은가리1길 68-1,041-585-3600,충남 천안시 서북구,127.1278555,36.88198815,정좌표,충청남도 천안시 서북구 직산읍 자은가리 1
53,53,53,유치원,아이세상유치원,6,150,31046,충남 천안시 서북구 성거읍 망향로 528-3,041-562-1193,충남 천안시 서북구,127.1945794,36.86537012,정좌표,충청남도 천안시 서북구 성거읍 송남리 356
54,54,54,유치원,도담유치원,6,150,31030,충남 천안시 서북구 직산읍 양당율금길 4-24,041-585-7179,충남 천안시 서북구,127.1245433,36.8932432,정좌표,충청남도 천안시 서북구 직산읍 상덕리 106-7
55,55,55,유치원,화랑유치원,3,75,31055,충남 천안시 서북구 입장면 하장1길10-6,041-583-9286,충남 천안시 서북구,127.2224533,36.91112432,정좌표,충청남도 천안시 서북구 입장면 하장리 257
56,56,56,유치원,아이솔유치원,12,285,31095,충남 천안시 서북구 번영로 306-8,041-523-7770,충남 천안시 서북구,127.1148137,36.82767152,정좌표,충청남도 천안시 서북구 백석동 462-15
57,57,57,유치원,백석유치원,14,280,31097,충남 천안시 서북구 한들2로 34-42,041-621-8010,충남 천안시 서북구,127.1231141,36.82734871,정좌표,충청남도 천안시 서북구 백석동 1149
58,58,58,유치원,해여림유치원,19,380,31091,충남 천안시 서북구 한들4로 75,041-554-3217,충남 천안시 서북구,127.1231096,36.82968015,정좌표,충청남도 천안시 서북구 백석동 980
59,59,59,유치원,행복유치원,8,160,31035,충남 천안시 서북구 직산읍 봉주로 137-29,041-587-1777,충남 천안시 서북구,127.1616556,36.87991847,정좌표,충청남도 천안시 서북구 직산읍 삼은리 58-6
60,60,60,유치원,이튼유치원,20,400,31156,충남 천안시 서북구 불당18로 33,041-567-7111,충남 천안시 서북구,127.1052266,36.80531296,정좌표,충청남도 천안시 서북구 불당동 1831
